time_s,D1_m,D2_m,D3_m
1.020000000000000018e+00,1.715321472828056722e-04,2.497741575166822852e-04,6.664190404815361366e-05
1.030000000000000027e+00,8.867275914232920634e-05,2.724221294388461719e-04,7.969199524769768382e-05
1.040000000000000036e+00,8.936845356172602788e-06,2.874600806279434110e-04,8.725352863128647677e-05
1.050000000000000044e+00,-6.464035852642713840e-05,2.969179821414810478e-04,9.118340752632118527e-05
1.060000000000000053e+00,-1.290780761280952555e-04,3.030120419620647553e-04,9.363820255256471417e-05
1.070000000000000062e+00,-1.830754785587871802e-04,3.064747220779119965e-04,9.530717095701379132e-05
1.080000000000000071e+00,-2.276412374969969473e-04,3.059295907774334613e-04,9.479465641631133548e-05
1.090000000000000080e+00,-2.651284706761641678e-04,2.989091581420913078e-04,8.974483389337591414e-05
1.100000000000000089e+00,-2.989027020294570606e-04,2.822676564676858749e-04,7.740595924782233664e-05
1.110000000000000098e+00,-3.341636602556286050e-04,2.514678894770830896e-04,5.409799718854546276e-05
1.120000000000000107e+00,-3.773651352939530728e-04,2.012975218262109251e-04,1.612115482733930070e-05
1.129999999999999893e+00,-4.337088859323783908e-04,1.284937906178322477e-04,-3.752482417612714799e-05
1.139999999999999902e+00,-5.058232311468290792e-04,3.310565267649836661e-05,-1.039089776540939880e-04
1.149999999999999911e+00,-5.948558512090533663e-04,-8.264749656875235466e-05,-1.776677188211131248e-04
1.159999999999999920e+00,-7.011096516168797022e-04,-2.151239949280927188e-04,-2.522427974430620657e-04
1.169999999999999929e+00,-8.226291866049767650e-04,-3.580233348075274164e-04,-3.192175723583051228e-04
1.179999999999999938e+00,-9.541985322785468283e-04,-5.016508043265913023e-04,-3.682324719627328054e-04
1.189999999999999947e+00,-1.088481596706328313e-03,-6.344061061167975430e-04,-3.891234181146442607e-04
1.199999999999999956e+00,-1.217599560775900957e-03,-7.447405804357590557e-04,-3.743676711179716498e-04
1.209999999999999964e+00,-1.333687535840028015e-03,-8.220767571777578111e-04,-3.201962728308053877e-04
1.219999999999999973e+00,-1.429294555922100245e-03,-8.575240581022732346e-04,-2.271430461846092683e-04
1.229999999999999982e+00,-1.498170726898339754e-03,-8.449061090241647819e-04,-1.005227266870063161e-04
1.239999999999999991e+00,-1.535492241212452202e-03,-7.811271415029865783e-04,5.010945322581839760e-05
1.250000000000000000e+00,-1.537122633337106425e-03,-6.654768965319053783e-04,2.128102779599057065e-04
1.260000000000000009e+00,-1.498761505719388822e-03,-4.987471893967761628e-04,3.753712089986885759e-04
1.270000000000000018e+00,-1.415762658448862588e-03,-2.829615600054373979e-04,5.267455176411903412e-04
1.280000000000000027e+00,-1.283983255547672692e-03,-2.207765483022384055e-05,6.573153350403396602e-04
1.290000000000000036e+00,-1.101707679059042017e-03,2.763247241661439808e-04,7.579633234161596914e-04
1.300000000000000044e+00,-8.715106693102285876e-04,5.995498091350632067e-04,8.191582896535343997e-04
1.310000000000000053e+00,-6.003453265965228965e-04,9.302178309552537171e-04,8.317790885492025226e-04
1.320000000000000062e+00,-2.980806705176387459e-04,1.248362178264834140e-03,7.893220471945633235e-04
1.330000000000000071e+00,2.382626995795428449e-05,1.533441713303369250e-03,6.896208490565138450e-04
1.340000000000000080e+00,3.536703310229354557e-04,1.766347559315371287e-03,5.360773165365148108e-04
1.350000000000000089e+00,6.821421881779267480e-04,1.932614498044741332e-03,3.395518505123500032e-04
1.360000000000000098e+00,1.004748919647088486e-03,2.025215916486100901e-03,1.192610570115829228e-04
1.370000000000000107e+00,1.320824299620400495e-03,2.043715566968704826e-03,-1.004118758404538305e-04
1.379999999999999893e+00,1.629884704976475480e-03,1.990588017928974444e-03,-2.960193127528736338e-04
1.389999999999999902e+00,1.929511076375010339e-03,1.868977606346475164e-03,-4.493713395339773813e-04
1.399999999999999911e+00,2.215905136736803956e-03,1.683083151920437967e-03,-5.486218751340965960e-04
1.409999999999999920e+00,2.484454921955477329e-03,1.438499733974113242e-03,-5.886777253853002359e-04
1.419999999999999929e+00,2.729543081653180818e-03,1.141753086554975769e-03,-5.716500505727719261e-04
1.429999999999999938e+00,2.945571762778304188e-03,8.010000485833492119e-04,-5.054132723308707659e-04
1.439999999999999947e+00,3.128828661344102476e-03,4.274935546958936365e-04,-4.008352191791505711e-04
1.449999999999999956e+00,3.277288857758900529e-03,3.489538698448582156e-05,-2.707783691440037777e-04
1.459999999999999964e+00,3.388322771690997597e-03,-3.635443961246181748e-04,-1.309454413829727745e-04
1.469999999999999973e+00,3.457696795579521653e-03,-7.564862345578928643e-04,8.098814285623668146e-07
1.479999999999999982e+00,3.481364197997101166e-03,-1.133165371765765305e-03,1.080180797476976845e-04
1.489999999999999991e+00,3.458007198498874810e-03,-1.481302371790176433e-03,1.795845210729067403e-04
1.500000000000000000e+00,3.390335554194907376e-03,-1.786296746782678815e-03,2.119295159156918374e-04
1.510000000000000009e+00,3.285013061382298372e-03,-2.031837325578046607e-03,2.090167810003038635e-04
1.520000000000000018e+00,3.151808870468899085e-03,-2.201302246382904997e-03,1.809155833515526898e-04
1.530000000000000027e+00,3.002647869182117554e-03,-2.279228120853144229e-03,1.417345042832210791e-04
1.540000000000000036e+00,2.850812185953181983e-03,-2.252550933226482501e-03,1.073919770276789376e-04
1.550000000000000044e+00,2.709423964553904496e-03,-2.112439664039535842e-03,9.261131450421590842e-05
1.560000000000000053e+00,2.588721959842460278e-03,-1.857140743646498726e-03,1.069850455853757449e-04
1.570000000000000062e+00,2.494178530324796771e-03,-1.493717128991666181e-03,1.524736948658196979e-04
1.580000000000000071e+00,2.427682036646173960e-03,-1.036448352840426074e-03,2.246591728579682735e-04
1.590000000000000080e+00,2.389929783274861476e-03,-5.038120152569445457e-04,3.157264239323247430e-04
1.600000000000000089e+00,2.380202237269625053e-03,8.206076920796867981e-05,4.151553686908887510e-04
1.610000000000000098e+00,2.393731083679238956e-03,6.936691503046510518e-04,5.083294803916025466e-04
1.620000000000000107e+00,2.420565680042361788e-03,1.298087978165433269e-03,5.769967504368954348e-04
1.629999999999999893e+00,2.447658358859751502e-03,1.860247710965300290e-03,6.031184683280498785e-04
1.639999999999999902e+00,2.462218346981707214e-03,2.347479168904022685e-03,5.737532242935642788e-04
1.649999999999999911e+00,2.454398627045751256e-03,2.733252925509168686e-03,4.846241919637286183e-04
1.659999999999999920e+00,2.419079904431025493e-03,2.999769721900359155e-03,3.418568907378000078e-04
1.669999999999999929e+00,2.356679499633297821e-03,3.139260946459783430e-03,1.617258979741498866e-04
1.679999999999999938e+00,2.272650380454508800e-03,3.153642381937165826e-03,-3.180675407000949838e-05
1.689999999999999947e+00,2.175961463546450050e-03,3.052838482583391209e-03,-2.111616711723279674e-04
1.699999999999999956e+00,2.077059525786175039e-03,2.852339754780255834e-03,-3.498897906652186649e-04
1.709999999999999964e+00,1.985804389865893343e-03,2.570565656276887784e-03,-4.271456205013116590e-04
1.719999999999999973e+00,1.910803804791817804e-03,2.227528346456122358e-03,-4.300983963999612100e-04
1.729999999999999982e+00,1.860973603744283441e-03,1.845644271570984684e-03,-3.533267738123499696e-04
1.739999999999999991e+00,1.846809238912907941e-03,1.450170615211271007e-03,-1.977662418805245514e-04
1.750000000000000000e+00,1.878287690660860720e-03,1.066223058505766244e-03,2.771506477824049882e-05
1.760000000000000009e+00,1.960988333659771134e-03,7.140766124802796133e-04,3.038596464007505991e-04
1.770000000000000018e+00,2.094819179420319248e-03,4.072451207090097176e-04,6.021343477310109153e-04
1.780000000000000027e+00,2.275855416155517404e-03,1.538711822445590479e-04,8.896572450233403455e-04
1.790000000000000036e+00,2.497622510981204955e-03,-4.226985467281839631e-05,1.133808415586243408e-03
1.800000000000000044e+00,2.750150950673025362e-03,-1.828287280239710019e-04,1.304477996190832366e-03
1.810000000000000053e+00,3.019217882064578317e-03,-2.755662821662592001e-04,1.376120675646198919e-03
1.820000000000000062e+00,3.287698845635362872e-03,-3.327498257057361205e-04,1.331264535275441781e-03
1.830000000000000071e+00,3.537878624375912894e-03,-3.684743189135302236e-04,1.163988043645295409e-03
1.840000000000000080e+00,3.753616514473314628e-03,-3.960949836957946809e-04,8.819847944296623984e-04
1.850000000000000089e+00,3.922772112886785574e-03,-4.254501111543800940e-04,5.074732673358554229e-04
1.860000000000000098e+00,4.039246756776487639e-03,-4.605989247128148894e-04,7.630843748852720503e-05
1.870000000000000107e+00,4.102987776941909026e-03,-4.997693041553606793e-04,-3.661196115165644732e-04
1.879999999999999893e+00,4.118360271318169917e-03,-5.370926054382332664e-04,-7.712898869407823011e-04
1.889999999999999902e+00,4.092775046190749028e-03,-5.641876167393331714e-04,-1.093739019548362968e-03
1.899999999999999911e+00,4.035891412495157607e-03,-5.712304025413165141e-04,-1.296130990077329738e-03
1.909999999999999920e+00,3.958698533006478441e-03,-5.481680367321135807e-04,-1.353421134030816445e-03
1.919999999999999929e+00,3.872622711598482873e-03,-4.858901774828686235e-04,-1.255604656638800417e-03
1.929999999999999938e+00,3.788469633789227301e-03,-3.775101588758927027e-04,-1.009024718562317796e-03
1.939999999999999947e+00,3.714025700193090713e-03,-2.208751889562623550e-04,-6.373077219630774717e-04
1.949999999999999956e+00,3.651256336764162856e-03,-2.129092098327664280e-05,-1.809752450688022955e-04
1.959999999999999964e+00,3.596725882615702148e-03,2.091998545991341626e-04,3.076335358405070841e-04
1.969999999999999973e+00,3.545710710065518630e-03,4.563870165494329323e-04,7.739160378490267909e-04
1.979999999999999982e+00,3.494914856745160500e-03,7.071023893742464216e-04,1.169075788342624793e-03
1.989999999999999991e+00,3.440727434971107938e-03,9.479610793337994983e-04,1.453035747922110186e-03
2.000000000000000000e+00,3.377473585704032777e-03,1.164111750922306983e-03,1.596345442629849105e-03
2.009999999999999787e+00,3.300130254967572306e-03,1.342443236935254641e-03,1.585216841222737488e-03
2.020000000000000018e+00,3.207813917586367896e-03,1.475454025915256878e-03,1.425569984053806335e-03
