T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
1.300000000000000266e+00,2.634406773075292918e-01,6.153976966107341795e+00,6.275310086632379658e-01,6.184259834448212700e+00,6.306190018455041235e-01
1.310000000000000275e+00,2.639503864426690494e-01,6.072107442931769405e+00,6.191826406501476088e-01,6.103398061923458684e+00,6.223733958001416156e-01
1.320000000000000284e+00,2.637394773666070780e-01,5.975675634890889931e+00,6.093493328395415132e-01,6.007741961726924096e+00,6.126191881760768565e-01
1.330000000000000293e+00,2.631279467639675573e-01,5.872505492523623083e+00,5.988289061528272450e-01,5.905068030828235059e+00,6.021493609773199696e-01
1.340000000000000302e+00,2.623712162493581079e-01,5.768545579447163618e+00,5.882279452664430641e-01,5.801286911880611186e+00,5.915666320181317550e-01
1.350000000000000311e+00,2.616654600330388658e-01,5.668114295649164802e+00,5.779868044285423334e-01,5.700344157468690831e+00,5.812733356924832950e-01
1.360000000000000320e+00,2.610813636386088432e-01,5.572598995696416146e+00,5.682469544336156142e-01,5.604320310664936855e+00,5.714816283506536365e-01
1.370000000000000329e+00,2.606587853450297310e-01,5.482655644997412203e+00,5.590752851378821831e-01,5.513711310728158566e+00,5.622420817229286660e-01
1.380000000000000338e+00,2.603749794009408425e-01,5.397601433793480119e+00,5.504021693232123980e-01,5.427795290542549722e+00,5.534810858491482355e-01
1.390000000000000346e+00,2.601572444703194598e-01,5.315768510945694025e+00,5.420575335048863908e-01,5.344964797790519917e+00,5.450347262103287793e-01
1.400000000000000355e+00,2.599007830805746266e-01,5.234934515384916054e+00,5.338147599215753436e-01,5.263052405538807932e+00,5.366819867680409084e-01
1.410000000000000364e+00,2.594859438653255856e-01,5.152705826857888916e+00,5.254297672352831183e-01,5.179723347390004839e+00,5.281847876073894055e-01
1.420000000000000373e+00,2.587940594525310334e-01,5.066841872938861790e+00,5.166740806431209254e-01,5.092854654993940855e+00,5.193266462037434694e-01
1.430000000000000382e+00,2.577220269149437804e-01,4.975528292038530864e+00,5.073626867522070816e-01,5.001086154985476817e+00,5.099688634738138715e-01
1.440000000000000391e+00,2.561938995029705013e-01,4.877570289480634536e+00,4.973737504122849873e-01,4.903085190420373607e+00,4.999755462283627661e-01
1.450000000000000400e+00,2.541673655194195969e-01,4.772473435136742381e+00,4.866568537815403328e-01,4.797893045818527824e+00,4.892489326955207218e-01
1.460000000000000409e+00,2.516354223434834059e-01,4.660427982419256487e+00,4.752313973088931331e-01,4.685670375314201941e+00,4.778054050378265916e-01
1.470000000000000417e+00,2.486250299568073807e-01,4.542238307895187788e+00,4.631794045770153967e-01,4.567185164214670579e+00,4.657232759621961482e-01
1.480000000000000426e+00,2.451935512449045784e-01,4.419217225137761496e+00,4.506347453144307069e-01,4.443766157990996390e+00,4.531380397986057296e-01
1.490000000000000435e+00,2.414228460971442058e-01,4.293046231005614999e+00,4.377688844820213920e-01,4.318130134090592875e+00,4.403267307480733250e-01
1.500000000000000222e+00,2.374113748632607768e-01,4.165611289278424501e+00,4.247741368641100301e-01,4.191387366690104699e+00,4.274025652684764753e-01
1.510000000000000231e+00,2.333660176617389503e-01,4.040577650066216719e+00,4.120242539568779172e-01,4.065444017366091956e+00,4.145599177462326312e-01
1.520000000000000240e+00,2.293271324095865482e-01,3.918573537601898416e+00,3.995832968038931510e-01,3.942112232850293552e+00,4.019835757216066452e-01
1.530000000000000249e+00,2.253805691471524875e-01,3.800960412106044739e+00,3.875900957111801381e-01,3.824730365793642228e+00,3.900139564268779169e-01
1.540000000000000258e+00,2.216980455979077613e-01,3.690457086432820777e+00,3.763218924334835180e-01,3.714106606850111181e+00,3.787334723733498665e-01
1.550000000000000266e+00,2.185837961172736321e-01,3.591817850016003622e+00,3.662634895724843909e-01,3.615268797279128865e+00,3.686548206858742960e-01
1.560000000000000275e+00,2.168523523128903230e-01,3.517828617314072481e+00,3.587186875552887955e-01,3.541030277943895577e+00,3.610845985065130326e-01
1.570000000000000284e+00,2.154725236200951133e-01,3.451058570221461341e+00,3.519100375991252583e-01,3.475139260443559586e+00,3.543655846230425177e-01
1.580000000000000293e+00,2.145906946429862461e-01,3.393567159559748081e+00,3.460475452432531518e-01,3.417034133839407239e+00,3.484405106575035882e-01
1.590000000000000302e+00,2.141732892418594658e-01,3.344496876068572710e+00,3.410437688781156607e-01,3.366996295162789643e+00,3.433380711214114589e-01
1.600000000000000311e+00,2.141595044982818052e-01,3.302608731455245916e+00,3.367723668587382924e-01,3.325991878453852024e+00,3.391567842692307932e-01
1.610000000000000320e+00,2.145153211033497820e-01,3.267129134312282801e+00,3.331544548150778273e-01,3.291361719726376478e+00,3.356254908379902036e-01
1.620000000000000329e+00,2.153004523483321719e-01,3.238729297444943978e+00,3.302584774051224858e-01,3.261909379575323342e+00,3.326221879617732302e-01
1.630000000000000338e+00,2.163044011017560830e-01,3.214029687363301413e+00,3.277398181196740645e-01,3.237089163299128991e+00,3.300912302671278331e-01
1.640000000000000346e+00,2.174328434562331214e-01,3.191517175367357240e+00,3.254441807719616331e-01,3.215886684667954576e+00,3.279291791455751781e-01
1.650000000000000355e+00,2.187275811872704534e-01,3.171724074087072243e+00,3.234258461438995202e-01,3.195501282681523669e+00,3.258504466542115896e-01
1.660000000000000364e+00,2.199928061238666799e-01,3.151752021379172319e+00,3.213892635486300109e-01,3.175345505099998356e+00,3.237951293357057003e-01
1.670000000000000373e+00,2.211284180152260359e-01,3.130194711390155149e+00,3.191910296982308215e-01,3.155161929519538333e+00,3.217369774101797031e-01
1.680000000000000382e+00,2.222151176775710724e-01,3.108241643167721335e+00,3.169524397391281778e-01,3.132143843065079203e+00,3.193897858152457414e-01
1.690000000000000391e+00,2.230130318443719895e-01,3.082595708261607115e+00,3.143372821770540892e-01,3.107492206092965059e+00,3.168760184255546286e-01
1.700000000000000400e+00,2.241372186539050959e-01,3.061793328269216463e+00,3.122160297623772229e-01,3.079600845981864676e+00,3.140318912148251096e-01
1.710000000000000409e+00,2.309151740594182489e-01,3.117597097466089817e+00,3.179064305819102598e-01,3.134369276365950086e+00,3.196167168570256401e-01
1.720000000000000417e+00,2.372332802939409735e-01,3.165763422490459167e+00,3.228180288366016004e-01,3.182772632518668043e+00,3.245524855601727432e-01
1.730000000000000426e+00,2.430695852958693892e-01,3.206255670162152516e+00,3.269470889816759596e-01,3.223143497736394636e+00,3.286691681396189946e-01
1.740000000000000435e+00,2.484187004063365678e-01,3.239257892513247139e+00,3.303123791012473331e-01,3.256169517711437145e+00,3.320368849414873647e-01
1.750000000000000444e+00,2.534004284368880366e-01,3.266562591005567562e+00,3.330966834755566541e-01,3.282720288828614663e+00,3.347443101190125669e-01
1.760000000000000453e+00,2.610555213503045757e-01,3.327110953573916952e+00,3.392708981735778617e-01,3.345393602669537447e+00,3.411352095434768694e-01
1.770000000000000462e+00,2.716917488036639239e-01,3.423652309020146500e+00,3.491153767107163519e-01,3.443306928988432158e+00,3.511195901748744297e-01
1.780000000000000471e+00,2.826198007498019749e-01,3.521456418779499664e+00,3.590886203524649156e-01,3.539342138680230843e+00,3.609124562088206756e-01
1.790000000000000480e+00,2.962463627220763840e-01,3.650116295157476820e+00,3.722082765427008333e-01,3.668805878866385761e+00,3.741140836948790849e-01
